population,minimum_age,maximum_age,gender,zipcode,geo_id
4337,,,,29055,8600000US29055
2448,,,,29056,8600000US29056
4746,,,,29058,8600000US29058
6068,,,,29059,8600000US29059
13717,,,,29061,8600000US29061
176,,,,29062,8600000US29062
32717,,,,29063,8600000US29063
677,,,,29065,8600000US29065
10949,,,,29067,8600000US29067
5020,,,,29069,8600000US29069
15330,,,,29070,8600000US29070
49566,,,,29072,8600000US29072
40775,,,,29073,8600000US29073
241,,,,29074,8600000US29074
2963,,,,29075,8600000US29075
15293,,,,29078,8600000US29078
151,,,,29079,8600000US29079
3240,,,,29080,8600000US29080
1352,,,,29081,8600000US29081
572,,,,29082,8600000US29082
3023,,,,29101,8600000US29101
18248,,,,29102,8600000US29102
1531,,,,29104,8600000US29104
1514,,,,29105,8600000US29105
3166,,,,29107,8600000US29107
20469,,,,29108,8600000US29108
1632,,,,29111,8600000US29111
4712,,,,29112,8600000US29112
1618,,,,29113,8600000US29113
2190,,,,29114,8600000US29114
31128,,,,29115,8600000US29115
1160,,,,29117,8600000US29117
15861,,,,29118,8600000US29118
54,,,,29122,8600000US29122
7617,,,,29123,8600000US29123
